motifs	cluster
motifs/Hughes/Autoseed_SmileSeq/CTCF.NA@SMS@snappy-grey-markhor@AJolma.Autoseed@Multinom1_OneHitAllReads_Seed_NCGCCCCCTNNNGN.ppm	9
motifs/Hughes/SMSPublished/Homer/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Homer@homer1.ppm	9
motifs/Hughes/SMSPublished/Homer/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Homer@homer2.ppm	8
motifs/Hughes/SMSPublished/Homer/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Homer@homer3.ppm	4
motifs/Hughes/SMSPublished/Meme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Meme@meme1.ppm	9
motifs/Hughes/SMSPublished/Meme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Meme@meme2.ppm	3
motifs/Hughes/SMSPublished/Meme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Meme@meme3.ppm	8
motifs/Hughes/SMSPublished/Streme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Streme@streme1.ppm	9
motifs/Hughes/SMSPublished/Streme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Streme@streme2.ppm	8
motifs/Hughes/SMSPublished/Streme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Streme@streme3.ppm	5
motifs/Hughes/SMSPublished/Streme/CTCF.NA@SMS@snappy-grey-markhor@Hughes.Streme@streme4.ppm	3
motifs/VIGG/PBM/CTCF.NA@PBM.ME@bluesy-corn-whale@VIGG.ChIPMunk@s_8-15_flat.pcm	7
motifs/VIGG/PBM/CTCF.NA@PBM.ME@queasy-aquamarine-horse@VIGG.ChIPMunk@s_8-15_flat.pcm	10
motifs/VIGG/SMS/CTCF.NA@SMS@snappy-grey-markhor@autosome-ru.ChIPMunk@topk_k=5_cpm=100000_topk=1000.pcm	9
motifs/VIGG/SMS/CTCF.NA@SMS@snappy-grey-markhor@autosome-ru.ChIPMunk@topk_k=5_cpm=100000_topk=2000.pcm	6
motifs/VIGG/SMS/CTCF.NA@SMS@snappy-grey-markhor@autosome-ru.ChIPMunk@topk_k=5_cpm=100000_topk=500.pcm	9
motifs/jangrau/PBM.QNZS/CTCF.NA@PBM.ME@queasy-aquamarine-horse@Halle.Dimont@Motif_1_astrained.ppm	1
motifs/jangrau/PBM.QNZS/CTCF.NA@PBM.ME@queasy-aquamarine-horse@Halle.Dimont@Motif_1_frompredictions.pcm	2
motifs/jangrau/PBM.QNZS/CTCF.NA@PBM.ME@queasy-aquamarine-horse@Halle.Dimont@Motif_2_astrained.ppm	8
motifs/jangrau/PBM.QNZS/CTCF.NA@PBM.ME@queasy-aquamarine-horse@Halle.Dimont@Motif_2_frompredictions.pcm	8
motifs/jangrau/PBM.SDQN/CTCF.NA@PBM.ME@bluesy-corn-whale@Halle.Dimont@Motif_1_astrained.ppm	1
motifs/jangrau/PBM.SDQN/CTCF.NA@PBM.ME@bluesy-corn-whale@Halle.Dimont@Motif_1_frompredictions.pcm	1
motifs/jangrau/SMS.published/CTCF.NA@SMS@snappy-grey-markhor@Halle.Dimont@Motif_1_posneg_astrained.ppm	9
motifs/jangrau/SMS.published/CTCF.NA@SMS@snappy-grey-markhor@Halle.Dimont@Motif_1_posneg_frompredictions.pcm	9
